part_id,part_name,category,quantity,min_qty,max_qty,key_dimensions_mm,material_guess,source_drawing_ids,evidence_notes,confidence,open_questions,status
PRT-JUP-001,Jupiter circular carrier plate,plate,1,1,1,unknown,bronze,DRW-012,Primary circular plate with hole field and mounted gear train,high,Thickness and exact bore/hole map pending,identified
PRT-JUP-002,Jupiter central hub/axle mount,shaft,1,1,1,unknown,bronze,DRW-012,Raised central hub assembly present on both plate views,high,Internal bearing/collar breakup unresolved,identified
PRT-JUP-003,Jupiter large primary spur gear,gear,1,1,1,unknown,bronze,DRW-012,Largest visible gear in lower-left of main gear cluster,medium,Need tooth count/module,identified
PRT-JUP-004,Jupiter secondary spur gear set,gear,,3,5,unknown,bronze,DRW-012,Multiple medium/small gears mesh around the primary gear,medium,Need split into unique gear IDs when labels are legible,inferred
PRT-JUP-005,Jupiter upper plate sector gear/track,gear,1,1,1,unknown,bronze,DRW-012,Arc-like toothed/sector feature visible on upper plate view,medium,Could be ring sector rather than discrete gear,needs_review
PRT-JUP-006,Jupiter indicator posts with ball tips,other,,4,8,unknown,bronze plus marker tips,DRW-012,Several vertical posts with spherical tips around plate perimeter,medium,Color-coded balls may be rendering markers vs physical parts,needs_review
PRT-JUP-007,Jupiter gear shafts/arbors,shaft,,3,8,unknown,bronze or steel,DRW-012,Vertical shafts/pivots support gears and indicators,medium,Exact count and geometry variants not yet resolved,inferred
PRT-JUP-008,Jupiter collars/spacers,spacer,,2,10,unknown,bronze or steel,DRW-012,Ring-like retainers visible around shafts and hubs,low,Could be integral hubs/shoulders rather than separate parts,needs_review
PRT-JUP-009,Jupiter plate fasteners/mount points,pin,,4,16,unknown,bronze or steel,DRW-012,Numerous perimeter/interior mounting points visible,low,Presence of separate fastener hardware not confirmed,inferred
PRT-MAR-001,Mars circular carrier plate,plate,1,1,1,unknown,bronze,DRW-013,Main circular plate supporting Mars gear and indicator assembly,high,Full dimensional profile pending,identified
PRT-MAR-002,Mars central hub/axle mount,shaft,1,1,1,unknown,bronze,DRW-013,Raised central hub visible in both perspectives,high,Need split of hub/collar subcomponents,identified
PRT-MAR-003,Mars outer annular ring/scale,pointer,1,1,1,unknown,bronze with engraved marks,DRW-013,Large outer ring with visible scale markings encircling assembly,medium,Ring may be separate part or linked frame element,needs_review
PRT-MAR-004,Mars primary spur gear,gear,1,1,1,unknown,bronze,DRW-013,Largest spur gear in lower gear cluster,medium,Tooth count/module unknown,identified
PRT-MAR-005,Mars secondary spur gear set,gear,,3,6,unknown,bronze,DRW-013,Multiple meshing secondary gears visible around primary gear,medium,Requires labeled view to split into unique gear IDs,inferred
PRT-MAR-006,Mars indicator arms/link bars,other,,3,6,unknown,bronze,DRW-013,Radial/diagonal arms connect center region to outer ring/markers,medium,Some links may be decorative/rendering simplifications,needs_review
PRT-MAR-007,Mars indicator posts with color markers,other,,4,10,unknown,bronze plus marker tips,DRW-013,Vertical posts with colored spherical tips around perimeter,medium,Marker spheres may not be physical hardware,needs_review
PRT-MAR-008,Mars gear shafts/arbors,shaft,,3,10,unknown,bronze or steel,DRW-013,Shaft elements support gears and indicators through plate,medium,Exact count and stepped geometries unresolved,inferred
PRT-MAR-009,Mars collars/spacers,spacer,,2,12,unknown,bronze or steel,DRW-013,Spacer/collar-like rings visible at shaft and hub interfaces,low,Could be integral hubs rather than separate parts,needs_review
PRT-MAR-010,Mars plate mount points/fasteners,pin,,4,16,unknown,bronze or steel,DRW-013,Perimeter and interior mount-point features present,low,Cannot confirm separate fastener components from current view,inferred
PRT-MER-001,Mercury outer annular gear ring,gear,1,1,1,unknown,bronze,DRW-014,Large outer toothed ring forming assembly perimeter,high,Tooth count/module pending,identified
PRT-MER-002,Mercury inner spoked carrier wheel,gear,1,1,1,unknown,bronze,DRW-014,Inner large spoked wheel inside annular ring,high,Confirm whether outer ring and inner wheel are coaxially coupled,identified
PRT-MER-003,Mercury central shaft and hub stack,shaft,1,1,1,unknown,bronze/steel mixed,DRW-014,Prominent central vertical shaft with stacked collar/hub features,high,"Need split into shaft, bushings, and bearings if separate",identified
PRT-MER-004,Mercury upper bridge/cross plate,plate,1,1,1,unknown,bronze,DRW-014,Rectangular bridge plate spans across center and mounts pivots,medium,Single-piece vs multi-plate sandwich unresolved,identified
PRT-MER-005,Mercury large driven spur gear,gear,1,1,1,unknown,bronze,DRW-014,Large upper gear visible under/next to bridge plate,medium,May be planet-specific gear with label not fully legible,identified
PRT-MER-006,Mercury secondary spur/pinion set,gear,,2,6,unknown,bronze,DRW-014,Additional smaller gears visible near center underside,medium,Need decomposition into unique gear IDs,inferred
PRT-MER-007,Mercury linkage arms,other,,2,6,unknown,bronze,DRW-014,Slender link bars connect lower pivots and bridge-mounted points,medium,Some links may be duplicated mirror parts,inferred
PRT-MER-008,Mercury indicator posts with marker tips,other,,4,10,unknown,bronze plus marker tips,DRW-014,Vertical posts with colored spherical tips on/near upper structure,medium,Marker spheres may be visual accents rather than physical hardware,needs_review
PRT-MER-009,Mercury support stanchions,other,,4,10,unknown,bronze,DRW-014,Perimeter stanchions support elevated components above ring,medium,Exact count and shared geometry with other planet modules unknown,inferred
PRT-MER-010,Mercury shafts/arbors and pivots,shaft,,4,12,unknown,bronze or steel,DRW-014,Multiple pivot and shaft elements carry gears and links,medium,Need exact split by function,inferred
PRT-MER-011,Mercury collars/spacers/washers,spacer,,3,14,unknown,bronze or steel,DRW-014,Numerous ring-like collars around pivots and shafts,low,Could be integral shoulders rather than discrete spacers,needs_review
PRT-MER-012,Mercury fasteners/mount points,pin,,6,20,unknown,bronze or steel,DRW-014,Many hole and cap-like mount features on bridge and ring,low,Hardware vs unfilled holes not distinguishable from current render,inferred
PRT-MET-001,Metonic base plate,plate,1,1,1,unknown,bronze,DRW-015,Rectangular plate with central hole field and perimeter mounts,high,Full hole coordinate map not yet captured,identified
PRT-MET-002,Metonic perimeter mounting tabs/standoffs,other,,6,8,unknown,bronze,DRW-015,Raised mounting tab/standoff features around plate perimeter,medium,Confirm count and whether tabs are separate fastened parts,inferred
PRT-MET-003,Metonic primary drive gear,gear,1,1,1,unknown,bronze,DRW-015,Larger visible gear in compact right-side cluster,medium,Tooth count/module unknown,identified
PRT-MET-004,Metonic secondary pinion gear,gear,1,1,1,unknown,bronze,DRW-015,Smaller gear meshing with primary in right-side cluster,medium,May overlap other pinion IDs from date/callippic assemblies,needs_review
PRT-MET-005,Metonic pointer/crank arm,other,1,1,1,unknown,bronze,DRW-015,Elongated arm attached to top of gear stack,medium,Could be hand/pointer rather than crank depending on downstream connection,needs_review
PRT-MET-006,Metonic gear arbor/shaft,shaft,,1,3,unknown,bronze or steel,DRW-015,Vertical shaft supports right-side gear pair and arm,medium,Exact shaft segmentation unresolved,inferred
PRT-MET-007,Metonic hub collars/retainers,spacer,,1,6,unknown,bronze or steel,DRW-015,Small ring-like hubs/collars visible near central mount points,low,May be integrated shoulders not separate spacers,needs_review
PRT-MET-008,Metonic plate fasteners/mount points,pin,,6,18,unknown,bronze or steel,DRW-015,Multiple screw/fastener-like points across plate and tabs,low,Could include empty holes without hardware,inferred
PRT-MOO-001,Moon dial base plate,plate,1,1,1,unknown,bronze,DRW-016,Primary rectangular moon plate carrying dial and annotations,high,Dimensions and full hole map pending,identified
PRT-MOO-002,Moon outer scale annulus,pointer,1,1,1,unknown,engraved bronze,DRW-016,Outer concentric ring with dense graduations/labels,medium,Separate ring insert vs integrated engraving unresolved,needs_review
PRT-MOO-003,Moon inner scale ring,pointer,1,1,1,unknown,engraved bronze,DRW-016,Inner circular scale surrounding central mechanism,medium,Need clearer source for exact segmentation,needs_review
PRT-MOO-004,Moon central hub/dome assembly,shaft,1,1,1,unknown,bronze,DRW-016,Prominent central raised dome/hub with axle interface,high,May decompose into multiple stacked components,identified
PRT-MOO-005,Moon radial pointer arms,other,,3,8,unknown,bronze,DRW-016,Multiple radial pointer/arm elements extending across dial,medium,Exact number and whether all arms are functional pointers unclear,inferred
PRT-MOO-006,Moon indicator post set with marker tips,other,,6,14,unknown,bronze plus marker tips,DRW-016,Numerous short posts with colored spherical tips around inner ring,medium,Colored spheres may be visualization aids rather than physical parts,needs_review
PRT-MOO-007,Moon ring-drive gear train (hidden/partial),gear,,2,8,unknown,bronze,DRW-016,Gear-like toothed interfaces visible around central/inner ring regions,medium,Precise gear count and identities not visible in this single perspective,inferred
PRT-MOO-008,Moon bridge/support standoffs,other,,2,8,unknown,bronze,DRW-016,Raised supports visible between upper dial assembly and lower plate,medium,May overlap with generic frame standoff family,inferred
PRT-MOO-009,Moon inscription panels (upper/lower),plate,2,2,2,unknown,engraved bronze,DRW-016,Two rectangular text panel regions above and below dial,medium,Likely integrated with plate but tracked separately for documentation,needs_review
PRT-MOO-010,Moon mount points/fasteners,pin,,6,20,unknown,bronze or steel,DRW-016,Multiple mount/fastener-like points on plate edges and dial area,low,Cannot distinguish hardware from empty holes in current render,inferred
PRT-NOD-001,Node outer annular ring,gear,1,1,1,unknown,bronze,DRW-017,Large toothed outer ring at assembly perimeter,high,Tooth count/module pending,identified
PRT-NOD-002,Node lower carrier plate/spoked frame,plate,1,1,1,unknown,bronze,DRW-017,Lower spoked plate/frame supports gears and posts,high,Confirm segmentation vs single piece,identified
PRT-NOD-003,Node central shaft and hub stack,shaft,1,1,1,unknown,bronze or steel,DRW-017,Tall central shaft with stacked hub/collar elements,high,"Split into shaft, sleeves, and bearings if separate",identified
PRT-NOD-004,Node upper radial pointer arms,other,,3,6,unknown,bronze,DRW-017,Long radial arms at top around central hub,medium,Exact arm count and symmetry need confirmation,inferred
PRT-NOD-005,Node marker tip set,other,,2,8,unknown,colored marker tips,DRW-017,Colored spherical tips appear on upper arm extensions,low,May be non-physical visual markers,needs_review
PRT-NOD-006,Node primary spur gear pair,gear,,2,4,unknown,bronze,DRW-017,At least two large meshing gears visible in lower cluster,medium,Need per-gear IDs and tooth counts,inferred
PRT-NOD-007,Node secondary pinion/stack gears,gear,,2,8,unknown,bronze,DRW-017,Additional smaller gears stacked near center,medium,Could overlap with shared gear family from other planet modules,needs_review
PRT-NOD-008,Node support stanchions/posts,other,,4,10,unknown,bronze,DRW-017,Vertical posts support upper frame/bridge,medium,Count and interchangeability unresolved,inferred
PRT-NOD-009,Node bridge/frame bars,plate,,1,4,unknown,bronze,DRW-017,Horizontal frame bars connecting stanchions across center,medium,Could be integral with plate in final decomposition,needs_review
PRT-NOD-010,Node collars/spacers/washers,spacer,,3,14,unknown,bronze or steel,DRW-017,Ring-like collars around shafts and pivots,low,Could be integral shoulders rather than separate components,needs_review
PRT-NOD-011,Node mount points/fasteners,pin,,6,24,unknown,bronze or steel,DRW-017,Multiple mount and cap-like features on frame and ring,low,Fasteners vs empty mounting holes unresolved,inferred
PRT-OLY-001,Olympiad scale strip/base plate,plate,1,1,1,unknown,bronze,DRW-018,Long narrow strip-like plate with repeated linear scale marks,high,Exact slot/mark spacing not measured,identified
PRT-OLY-002,Olympiad central shaft/arbor,shaft,1,1,1,unknown,bronze or steel,DRW-018,Single vertical shaft mounted near strip center,high,Need full shaft profile (diameter steps/length),identified
PRT-OLY-003,Olympiad central spur gear,gear,1,1,1,unknown,bronze,DRW-018,Spur gear mounted around central shaft,medium,Tooth count/module not legible,identified
PRT-OLY-004,Olympiad top cap/knob,other,1,1,1,unknown,bronze,DRW-018,Cap or handle-like top fitting on shaft,medium,Could be retainer nut rather than functional knob,needs_review
PRT-OLY-005,Olympiad shaft collar/retainer,spacer,,1,3,unknown,bronze or steel,DRW-018,Collar-like ring at shaft/gear interface,low,May be integral shoulder in shaft model,needs_review
PRT-OLY-006,Olympiad strip mounting points,pin,,2,8,unknown,bronze or steel,DRW-018,Potential mount holes/features along strip length,low,Hardware presence cannot be confirmed from render,inferred
PRT-SAR-001,Saros upper dial plate,plate,1,1,1,unknown,bronze,DRW-019,Upper rectangular plate carrying two large circular dial fields,high,Full dimensions and hole map pending,identified
PRT-SAR-002,Saros left circular scale ring,pointer,1,1,1,unknown,engraved bronze,DRW-019,Left circular graded ring with pointer region,medium,Need clear legend transcription,needs_review
PRT-SAR-003,Saros right circular scale grid,pointer,1,1,1,unknown,engraved bronze,DRW-019,Right dense cell-based circular scale,medium,Cell labels/symbols not legible enough for extraction,needs_review
PRT-SAR-004,Saros dial pointer hand,other,1,1,1,unknown,bronze,DRW-019,Pointer arm visible on left dial,medium,Could be one of multiple hands depending on hidden layer,identified
PRT-SAR-005,Saros central dial pivots/hubs,shaft,,2,4,unknown,bronze or steel,DRW-019,Pivot/hub features visible at centers of both dials,medium,Separate shafts vs integrated pivots unresolved,inferred
PRT-SAR-006,Saros lower support plate,plate,1,1,1,unknown,bronze,DRW-019,Lower rectangular plate shown beneath dial plate,high,May overlap with previously logged back/base plates,needs_review
PRT-SAR-007,Saros drive gear cluster,gear,,2,5,unknown,bronze,DRW-019,Small cluster of meshing gears on lower plate,medium,Requires split into unique gear IDs and tooth counts,inferred
PRT-SAR-008,Saros standoff post set,other,,6,10,unknown,bronze,DRW-019,Vertical standoffs separate upper and lower plates,medium,Exact count and interchangeability unresolved,inferred
PRT-SAR-009,Saros standoff caps/fasteners,fastener,,6,16,unknown,bronze or steel,DRW-019,Cap-like fastener features at tops of standoffs,low,Could be stylized caps rather than separate hardware,needs_review
PRT-SAR-010,Saros plate mount points,pin,,6,24,unknown,bronze or steel,DRW-019,Numerous hole/mount points visible across both plates,low,Hardware presence cannot be confirmed from render,inferred
PRT-SAT-001,Saturn dial base plate,plate,1,1,1,unknown,bronze,DRW-020,Rectangular front plate carrying Saturn dial and inscriptions,high,Overall dimensions and hole map pending,identified
PRT-SAT-002,Saturn circular scale annulus,pointer,1,1,1,unknown,engraved bronze,DRW-020,Outer circular ring with gradations around front dial,medium,Separate ring insert vs integrated engraving unresolved,needs_review
PRT-SAT-003,Saturn central spoked dial wheel,gear,1,1,1,unknown,bronze,DRW-020,Spoked circular wheel at front dial center,medium,Drive tooth details unclear,identified
PRT-SAT-004,Saturn front pointer hub and hand,shaft,1,1,1,unknown,bronze,DRW-020,Central hub and short hand-like indicator on front dial,medium,Pointer and hub may be separate parts,needs_review
PRT-SAT-005,Saturn inscription panels (upper/lower),plate,2,2,2,unknown,engraved bronze,DRW-020,Upper and lower text blocks on front plate,medium,Likely integrated into same plate but tracked as functional regions,needs_review
PRT-SAT-006,Saturn rear circular gear mounting region,plate,1,1,1,unknown,bronze,DRW-020,Rear circular mounting area hosting compact gear set,medium,Could be part of base plate rather than separate insert,needs_review
PRT-SAT-007,Saturn rear primary spur gears,gear,,2,4,unknown,bronze,DRW-020,Two larger gears visible in rear circular cluster,medium,Need split into unique IDs/tooth counts,inferred
